path;type_wikiart;type_semart;style;timeframe;TECHNIQUE;SCHOOL;author
Expressionism/pyotr-konchalovsky_seated-girl-sketch-of-portrait-of-kamushka-benediktova-1931.jpg;portrait;genre;Expressionism;1851-1900;;;KONCHALOVSKY, Pyotr
Abstract_Expressionism/abidin-dino_antibes-1961.jpg;abstract_painting;landscape;Abstract_Expressionism;1851-1900;;;
Color_Field_Painting/ray-parker_untitled-1962.jpg;abstract_painting;other;Color_Field_Painting;1851-1900;;;
Romanticism/theodore-gericault_man-on-the-street.jpg;cityscape;genre;Romanticism;1851-1900;;;
Romanticism/sir-lawrence-alma-tadema_summer-offering-young-girl-with-roses-1911.jpg;portrait;religious;Romanticism;1851-1900;;;
Early_Renaissance/jacopo-bellini_annunciation-1444.jpg;religious_painting;religious;Early_Renaissance;1401-1450;;;
Expressionism/martiros-saryan_lori-1925.jpg;sketch_and_study;landscape;Expressionism;1851-1900;;;SARYAN, Martiros
Cubism/marevna-(marie-vorobieff)_portrait-of-a-young-david-1955.jpg;portrait;portrait;Cubism;1851-1900;;;
Realism/aleksey-savrasov_courtyard-spring-1853.jpg;cityscape;landscape;Realism;1851-1900;;;
Abstract_Expressionism/jack-tworkov_trace-1966.jpg;abstract_painting;landscape;Abstract_Expressionism;1801-1850;;;
Expressionism/carlos-saenz-de-tejada_the-chapman.jpg;sketch_and_study;other;Expressionism;1451-1500;;;
42899-2loggia.jpg;genre_painting;interior;Mannerism_Late_Renaissance;1551-1600;Fresco;Italian;VERONESE, Paolo
Realism/vasily-perov_orphans-in-the-cemetery-1864.jpg;genre_painting;portrait;Realism;1851-1900;;;
High_Renaissance/pietro-perugino_madonna-enthroned-with-st-john-the-tufer-and-st-sebastian-detail-1.jpg;religious_painting;religious;High_Renaissance;1501-1550;;;
34986-08civate.jpg;religious_painting;religious;Early_Renaissance;1051-1100;Fresco;Italian;ROMANESQUE PAINTER, Italian
Impressionism/claude-monet_poppy-field-in-giverny-03.jpg;landscape;landscape;Impressionism;1851-1900;;;MONET, Claude
Impressionism/william-merritt-chase_afternoon-in-the-park.jpg;genre_painting;genre;Impressionism;1851-1900;;;
Post_Impressionism/nicolae-tonitza_childrens-room-1920.jpg;genre_painting;genre;Post_Impressionism;1851-1900;;;
14203-arlotto.jpg;genre_painting;genre;Baroque;1651-1700;Oil on canvas;Italian;FRANCESCHINI, Baldassarre
Northern_Renaissance/lucas-cranach-the-elder_three-princesses-of-saxony-sibylla-emilia-and-sidonia-daughters-of-duke-heinrich-of-frommen.jpg;portrait;portrait;Northern_Renaissance;1501-1550;;;
Realism/vladimir-makovsky_they-listen-the-gramophone-1910.jpg;genre_painting;interior;Realism;1851-1900;;;
Abstract_Expressionism/sam-francis_painting-1957.jpg;abstract_painting;other;Abstract_Expressionism;1851-1900;;;
28612-3etreta1.jpg;landscape;landscape;Impressionism;1851-1900;Oil on canvas;French;MONET, Claude
05065-bacchus.jpg;nude_painting;mythological;Realism;1601-1650;Oil on canvas;Dutch;BOR, Paulus
Post_Impressionism/maxime-maufra_evening-twilight-on-the-seine.jpg;landscape;landscape;Post_Impressionism;1851-1900;;;
Expressionism/m.c.-escher_not_detected_204680.jpg;illustration;religious;Expressionism;1451-1500;;;
Romanticism/ferdinand-georg-waldmã¼ller_the-radhausberg-at-gastein-1837.jpg;landscape;landscape;Romanticism;1851-1900;;;
Baroque/pieter-de-hooch_a-sick-child.jpg;genre_painting;genre;Baroque;1651-1700;;;
Realism/pyotr-konchalovsky_grey-day-blossoming-apple-trees-by-the-pond-1937.jpg;landscape;landscape;Realism;1851-1900;;;KONCHALOVSKY, Pyotr
Symbolism/kuzma-petrov-vodkin_glass-and-lemon-1922.jpg;still_life;still-life;Symbolism;1601-1650;;;
Abstract_Expressionism/joan-miro_not_detected_227959.jpg;abstract_painting;other;Abstract_Expressionism;1851-1900;;;
Naive_Art_Primitivism/marc-chagall_a-flowered-easel-1984.jpg;genre_painting;other;Naive_Art_Primitivism;1851-1900;;;CHAGALL, Marc
16408-mary070.jpg;religious_painting;religious;Early_Renaissance;1301-1350;Fresco;Italian;GIOTTO di Bondone
Abstract_Expressionism/bradley-walker-tomlin_number-7-1953.jpg;abstract_painting;other;Abstract_Expressionism;1851-1900;;;
Fauvism/martiros-saryan_ararat-a-study-for-armenia-1964.jpg;sketch_and_study;landscape;Fauvism;1851-1900;;;SARYAN, Martiros
Rococo/pietro-longhi_the-hunters-drawing-numbers.jpg;genre_painting;genre;Rococo;1701-1750;;;
Impressionism/pierre-auguste-renoir_woman-leaning-on-her-elbow-1918.jpg;portrait;genre;Impressionism;1851-1900;;;RENOIR, Pierre-Auguste
Rococo/francois-boucher_young-woman-with-a-bouquet-of-roses.jpg;portrait;portrait;Rococo;1701-1750;;;
Realism/john-singer-sargent_the-right-honourable-joseph-chamberlain-1896.jpg;portrait;portrait;Realism;1851-1900;;;SINGER SARGENT, John
Impressionism/rudolf-schweitzer-cumpana_str-du-spre-montmartre.jpg;cityscape;landscape;Impressionism;1851-1900;;;
27117-colbert.jpg;portrait;portrait;Rococo;1651-1700;Oil on canvas;French;MIGNARD, Pierre
Ukiyo_e/hiroshige_prune-orchard-sun.jpg;landscape;other;Ukiyo_e;1851-1900;;;
Post_Impressionism/vincent-van-gogh_drawbridge-with-lady-with-parasol-1888(1).jpg;cityscape;landscape;Post_Impressionism;1651-1700;;;VAN GOGH, Vincent
23842-3manet01.jpg;portrait;portrait;Impressionism;1851-1900;Oil on canvas;French;MANET, Edouard
15558-4naming.jpg;religious_painting;religious;Early_Renaissance;1451-1500;Fresco;Italian;GHIRLANDAIO, Domenico
30773-5cato1.jpg;religious_painting;historical;High_Renaissance;1451-1500;Fresco;Italian;PERUGINO, Pietro
Impressionism/raoul-dufy_portrait-of-the-artist-s-sister-suzanne-dufy-1904.jpg;portrait;portrait;Impressionism;1851-1900;;;
Impressionism/childe-hassam_isles-of-shoals-garden-aka-the-garden-in-its-glory.jpg;landscape;landscape;Impressionism;1851-1900;;;HASSAM, Childe
Expressionism/lucian-freud_memory-of-london.jpg;genre_painting;religious;Expressionism;1551-1600;;;
Realism/ioannis-altamouras_1874-2.jpg;cityscape;landscape;Realism;1851-1900;;;
Northern_Renaissance/hieronymus-bosch_not_detected_195349.jpg;religious_painting;religious;Northern_Renaissance;1451-1500;;;
Impressionism/john-henry-twachtman_waterfall-in-yellowstone-1.jpg;landscape;landscape;Impressionism;1851-1900;;;
Abstract_Expressionism/sam-francis_untitled-michel-waldberg-po-mes-dans-le-ciel-sf315-1986.jpg;abstract_painting;other;Abstract_Expressionism;1851-1900;;;
Romanticism/orest-kiprensky_female-portrait.jpg;portrait;portrait;Romanticism;1801-1850;;;
